SMILES,bacteria,MIC (µg/mL),MIC (µmol/mL),log MIC,S. aureus,molar_mass
ClC=1C=CC=CC1CN2C(=NC=3C=CC=CC32)CN4C=NC=5C4=NC=NC5N6CCOCC6,"MRSA, Methicillin-Resistant Staphylococcus aureus N315",512.0,1.1131862564981154,3.0465678358547152,+,459.94100000000026
ClC1=CC=CC(=C1)CN2C(=NC=3C=CC=CC32)CN4C=NC=5C4=NC=NC5N6CCOCC6,"MRSA, Methicillin-Resistant Staphylococcus aureus N315",256.0,0.5565931282490577,2.745537840190734,+,459.94100000000026
ClC1=CC=C(C=C1)CN2C(=NC=3C=CC=CC32)CN4C=NC=5C4=NC=NC5N6CCOCC6,"MRSA, Methicillin-Resistant Staphylococcus aureus N315",512.0,1.1131862564981154,3.0465678358547152,+,459.94100000000026
N1=CN=C(C=2NC=NC12)N3CCCCC3,"MRSA, Methicillin-Resistant Staphylococcus aureus N315",512.0,2.519077584637564,3.4012415434652,+,203.2489999999999
N=1C=NC(=C2N=CN(C12)CC3=NC=4C=CC=CC4N3CCCCCC)N5CCCCC5,"MRSA, Methicillin-Resistant Staphylococcus aureus N315",64.0,0.15327101908463658,2.1854600449948203,+,417.56100000000043
N1=CN=C(C=2NC=NC12)N3CCCC3,"MRSA, Methicillin-Resistant Staphylococcus aureus N315",512.0,2.7058164484045206,3.432298332487478,+,189.22199999999992
N=1C=NC(=C2N=CN(C12)CC3=NC=4C=CC=CC4N3CCCCCC)N5CCCC5,"MRSA, Methicillin-Resistant Staphylococcus aureus N315",64.0,0.1585987797806379,2.200299841641268,+,403.5340000000004
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=5C=CC=CC5N4)CC3)CC,"MRSA, Methicillin-Resistant Staphylococcus aureus N315",4.0,0.009185709791277705,0.9631127204159312,+,435.4590000000002
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=5C=CC=CC5N4)CC3)C6CC6,"MRSA, Methicillin-Resistant Staphylococcus aureus N315",0.5,0.001117393344805238,0.0482060803739143,+,447.4700000000002
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(CC4=NC=5C=CC=CC5N4)CC3)CC,"MRSA, Methicillin-Resistant Staphylococcus aureus N315",1.0,0.0022247633964127904,0.3472838305546309,+,449.4860000000002
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(CC4=NC=5C=CC(F)=CC5N4)CC3)CC,"MRSA, Methicillin-Resistant Staphylococcus aureus N315",16.0,0.03422635600544197,1.534360663351385,+,467.4760000000002
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(CC4=NC=5C=CC(Cl)=CC5N4)CC3)CC,"MRSA, Methicillin-Resistant Staphylococcus aureus N315",1.0,0.0020664102940295198,0.3152165566520404,+,483.93100000000027
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(CC4=NC=5C=CC(Br)=CC5N4)CC3)CC,"MRSA, Methicillin-Resistant Staphylococcus aureus N315",32.0,0.060562244739601256,1.7822019639153153,+,528.3820000000002
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(CC4=NC=5C=CC(=CC5N4)N(=O)=O)CC3)CC,"MRSA, Methicillin-Resistant Staphylococcus aureus N315",8.0,0.016178513720390784,1.2089386215604687,+,494.4830000000003
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(CC4=NC=5C=CC=CC5N4)CC3)C6CC6,"MRSA, Methicillin-Resistant Staphylococcus aureus N315",0.12,0.0002708576653802731,-0.5672588691953038,+,461.49700000000024
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(CC4=NC=5C=CC(F)=CC5N4)CC3)C6CC6,"MRSA, Methicillin-Resistant Staphylococcus aureus N315",2.0,0.004171124556035928,0.6202531587241386,+,479.48700000000025
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(CC4=NC=5C=CC(Cl)=CC5N4)CC3)C6CC6,"MRSA, Methicillin-Resistant Staphylococcus aureus N315",0.5,0.0010081824084267913,0.0035391152506877,+,495.9420000000003
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(CC4=NC=5C=CC(Br)=CC5N4)CC3)C6CC6,"MRSA, Methicillin-Resistant Staphylococcus aureus N315",4.0,0.00740202038146312,0.8693502765905952,+,540.393
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(CC4=NC=5C=CC(=CC5N4)N(=O)=O)CC3)C6CC6,"MRSA, Methicillin-Resistant Staphylococcus aureus N315",2.0,0.003948714101252924,0.5964556906514438,+,506.4940000000003
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(CC4=NC=5C=CC=CC5N4CC)CC3)CC,"MRSA, Methicillin-Resistant Staphylococcus aureus N315",8.0,0.016752523348829408,1.2240802319063082,+,477.5400000000003
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(CC4=NC=5C=CC=CC5N4CCC)CC3)CC,"MRSA, Methicillin-Resistant Staphylococcus aureus N315",16.0,0.03254897094394048,1.5125372626297755,+,491.56700000000035
